Date,Price,Open,High,Low,Volume,Chg%
19-Jan-22,86.96,86.61,87.91,85.77,113.15K,1.79%
18-Jan-22,85.43,84.32,86.63,83.5,163.64K,2.08%
17-Jan-22,83.69,83.84,83.95,82.94,0,-0.17%
16-Jan-22,83.83,83.78,84.09,83.68,0,0.01%
14-Jan-22,83.82,81.73,84.45,81.58,364.44K,2.07%
13-Jan-22,82.12,82.82,82.94,81.39,364.77K,-0.63%
12-Jan-22,82.64,81.38,83.1,81.17,420.62K,1.75%
11-Jan-22,81.22,78.42,81.59,78.36,481.82K,3.82%
10-Jan-22,78.23,78.88,79.45,77.83,389.96K,-0.85%
7-Jan-22,78.9,79.62,80.47,78.52,414.43K,-0.70%
6-Jan-22,79.46,77.24,80.24,76.73,476.67K,2.07%
5-Jan-22,77.85,77.18,78.58,76.51,397.90K,1.12%
4-Jan-22,76.99,76.02,77.64,75.7,372.85K,1.20%
3-Jan-22,76.08,75.69,76.46,74.27,317.63K,1.16%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
